recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,spend,treatment,history_log
7,4) $350 - $500,435.73,0,1,Urban,1,Web,No E-Mail,0,0,0,0,6.077022785469567
2,3) $200 - $350,203.35,1,0,Rural,0,Web,No E-Mail,0,0,0,0,5.314928632353234
9,3) $200 - $350,334.24,1,0,Urban,0,Web,Mens E-Mail,0,0,0,1,5.8118592978082555
6,2) $100 - $200,128.01,0,1,Urban,0,Web,Mens E-Mail,0,0,0,1,4.852108385868018
9,1) $0 - $100,29.99,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0,1,3.4008639927609177
1,5) $500 - $750,514.52,0,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,6.243234427210514
4,"6) $750 - $1,000",766.47,1,1,Urban,1,Multichannel,Mens E-Mail,0,0,0,1,6.641795558602672
7,5) $500 - $750,520.43,0,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,6.254655392939876
11,3) $200 - $350,236.97,1,1,Urban,1,Phone,Mens E-Mail,0,0,0,1,5.467933550844437
3,1) $0 - $100,99.23,1,0,Rural,0,Web,Mens E-Mail,1,0,0,1,4.5974403879261505
2,4) $350 - $500,492.02,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,6.198519366072607
1,1) $0 - $100,48.32,0,1,Urban,0,Web,No E-Mail,0,0,0,0,3.8778455536265595
10,1) $0 - $100,29.99,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,3.4008639927609177
2,4) $350 - $500,391.33,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,5.96955119379609
1,5) $500 - $750,729.7,1,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,6.592633490771575
3,3) $200 - $350,203.3,0,1,Surburban,0,Web,No E-Mail,0,0,0,0,5.314682720634301
9,2) $100 - $200,185.43,1,0,Urban,0,Web,Mens E-Mail,0,0,0,1,5.222677452339291
7,1) $0 - $100,29.99,0,1,Urban,1,Phone,Mens E-Mail,0,0,0,1,3.4008639927609177
9,1) $0 - $100,78.62,1,0,Urban,0,Web,Mens E-Mail,0,0,0,1,4.364626119993714
12,2) $100 - $200,150.06,0,1,Surburban,0,Phone,No E-Mail,0,0,0,0,5.011035214117583
6,1) $0 - $100,42.66,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,3.753261713043204
3,5) $500 - $750,549.29,1,0,Surburban,1,Multichannel,No E-Mail,0,0,0,0,6.308626535194695
9,5) $500 - $750,506.83,1,0,Rural,1,Multichannel,Mens E-Mail,0,0,0,1,6.2281756416437295
10,2) $100 - $200,115.4,1,0,Urban,0,Phone,Mens E-Mail,0,0,0,1,4.748404354073999
6,1) $0 - $100,40.07,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0,1,3.6906279246480533
11,4) $350 - $500,417.21,0,1,Urban,0,Phone,No E-Mail,0,0,0,0,6.033589692158629
1,3) $200 - $350,259.91,0,1,Surburban,1,Web,No E-Mail,0,0,0,0,5.5603354172443025
11,1) $0 - $100,53.81,1,0,Urban,1,Phone,No E-Mail,0,0,0,0,3.9854593235013285
9,2) $100 - $200,154.15,0,1,Surburban,0,Web,Mens E-Mail,0,0,0,1,5.037926154332159
2,3) $200 - $350,278.8,1,0,Rural,0,Web,Mens E-Mail,0,0,0,1,5.630494678886369
2,4) $350 - $500,428.74,1,0,Rural,0,Phone,Mens E-Mail,0,0,0,1,6.06085067459299
11,3) $200 - $350,228.09,0,1,Surburban,1,Web,No E-Mail,0,0,0,0,5.429740287908455
1,5) $500 - $750,640.58,0,1,Urban,1,Phone,Mens E-Mail,0,0,0,1,6.462374015957115
4,2) $100 - $200,194.11,1,0,Urban,0,Phone,No E-Mail,0,0,0,0,5.268425008683
7,1) $0 - $100,84.49,0,1,Urban,1,Web,No E-Mail,0,0,0,0,4.436633184164753
7,3) $200 - $350,235.14,0,1,Urban,1,Phone,Mens E-Mail,0,0,0,1,5.460181081439595
2,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0,1,3.4008639927609177
7,3) $200 - $350,272.32,1,0,Surburban,1,Web,Mens E-Mail,0,0,0,1,5.60697784538501
2,1) $0 - $100,95.33,0,1,Surburban,0,Web,No E-Mail,1,0,0,0,4.557344556505487
5,4) $350 - $500,494.26,1,1,Surburban,1,Phone,Mens E-Mail,0,0,0,1,6.2030616945218195
2,"6) $750 - $1,000",809.07,1,0,Urban,1,Phone,Mens E-Mail,0,0,0,1,6.6958854398913035
3,2) $100 - $200,101.61,0,1,Surburban,1,Phone,No E-Mail,0,0,0,0,4.62114195549779
8,1) $0 - $100,52.64,0,1,Surburban,1,Web,No E-Mail,0,0,0,0,3.9634762870170617
6,4) $350 - $500,466.29,1,0,Urban,1,Multichannel,Mens E-Mail,0,0,0,1,6.144807758162917
3,2) $100 - $200,100.85,1,0,Urban,1,Phone,Mens E-Mail,0,0,0,1,4.613634264400221
3,"7) $1,000 +",1397.57,1,0,Surburban,1,Multichannel,Mens E-Mail,0,0,0,1,7.242490293220258
2,"6) $750 - $1,000",770.58,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0,1,6.647143478053019
3,"7) $1,000 +",1973.87,1,0,Surburban,1,Multichannel,No E-Mail,0,0,0,0,7.587751361695131
3,2) $100 - $200,133.51,1,0,Urban,0,Web,Mens E-Mail,0,0,0,1,4.894176381402003
8,1) $0 - $100,31.52,0,1,Surburban,0,Web,Mens E-Mail,0,0,0,1,3.4506222649896783
11,2) $100 - $200,189.25,0,1,Urban,1,Phone,No E-Mail,0,0,0,0,5.243068892317559
8,1) $0 - $100,66.14,1,0,Surburban,1,Phone,No E-Mail,0,0,0,0,4.191773707553646
11,2) $100 - $200,146.04,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0,1,4.983880556787436
12,1) $0 - $100,29.99,0,1,Urban,1,Web,No E-Mail,0,0,0,0,3.4008639927609177
9,"7) $1,000 +",1172.42,1,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,7.0668252677154575
5,3) $200 - $350,244.34,0,1,Urban,1,Web,Mens E-Mail,0,0,0,1,5.498560697975914
9,2) $100 - $200,151.01,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,5.017346059787697
11,1) $0 - $100,35.43,1,0,Urban,1,Phone,Mens E-Mail,0,0,0,1,3.5675589188773804
3,3) $200 - $350,313.6,0,1,Surburban,0,Phone,No E-Mail,0,0,0,0,5.7481182884762525
1,2) $100 - $200,117.27,0,1,Rural,0,Phone,Mens E-Mail,0,0,0,1,4.764478968472973
5,1) $0 - $100,29.99,0,1,Surburban,0,Web,No E-Mail,0,0,0,0,3.4008639927609177
3,5) $500 - $750,683.2,1,1,Rural,1,Multichannel,No E-Mail,0,0,0,0,6.5267876424743605
1,2) $100 - $200,110.07,0,1,Urban,0,Web,Mens E-Mail,0,0,0,1,4.701116527035301
2,1) $0 - $100,29.99,0,1,Urban,0,Web,Mens E-Mail,0,0,0,1,3.4008639927609177
11,2) $100 - $200,160.04,1,0,Rural,0,Web,Mens E-Mail,0,0,0,1,5.075423783989034
1,4) $350 - $500,418.68,0,1,Surburban,0,Web,No E-Mail,0,0,0,0,6.0371069049866835
11,3) $200 - $350,316.23,1,0,Urban,1,Phone,Mens E-Mail,0,0,0,1,5.756469796935208
9,3) $200 - $350,329.96,0,1,Surburban,1,Phone,No E-Mail,0,0,0,0,5.798971434992531
7,2) $100 - $200,185.73,1,0,Surburban,0,Phone,Mens E-Mail,0,0,0,1,5.22429400619925
1,5) $500 - $750,616.73,0,1,Urban,1,Web,Mens E-Mail,0,0,0,1,6.424431326833402
3,3) $200 - $350,249.71,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,5.520300244541494
2,1) $0 - $100,46.09,0,1,Urban,0,Web,No E-Mail,0,0,0,0,3.830596006732417
8,1) $0 - $100,48.87,1,0,Surburban,1,Web,Mens E-Mail,0,0,0,1,3.8891637112820634
4,3) $200 - $350,270.24,1,0,Urban,1,Phone,No E-Mail,0,0,0,0,5.59931045305949
9,3) $200 - $350,228.8,1,0,Surburban,0,Multichannel,Mens E-Mail,1,0,0,1,5.432848259505643
9,2) $100 - $200,162.59,0,1,Urban,0,Phone,Mens E-Mail,1,0,0,1,5.091231694607464
12,1) $0 - $100,87.62,1,0,Urban,1,Phone,Mens E-Mail,0,0,0,1,4.473009282385752
3,1) $0 - $100,29.99,1,0,Surburban,0,Phone,Mens E-Mail,0,0,0,1,3.4008639927609177
2,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0,1,3.4008639927609177
7,3) $200 - $350,229.53,1,0,Surburban,0,Web,Mens E-Mail,1,0,0,1,5.4360337399118706
1,4) $350 - $500,439.93,1,1,Rural,1,Multichannel,No E-Mail,0,0,0,0,6.086615623346915
2,3) $200 - $350,289.55,0,1,Rural,0,Phone,No E-Mail,1,0,0,0,5.668327993671799
5,1) $0 - $100,29.99,0,1,Surburban,1,Phone,Mens E-Mail,1,0,0,1,3.4008639927609177
9,3) $200 - $350,274.29,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,5.614185940844445
1,3) $200 - $350,293.37,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,5.6814346109922935
12,1) $0 - $100,29.99,1,0,Urban,1,Phone,No E-Mail,0,0,0,0,3.4008639927609177
1,4) $350 - $500,407.09,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,6.0090342912180414
1,2) $100 - $200,142.4,0,1,Surburban,0,Phone,No E-Mail,0,0,0,0,4.958639998977875
1,1) $0 - $100,29.99,0,1,Urban,1,Web,Mens E-Mail,0,0,0,1,3.4008639927609177
12,3) $200 - $350,284.54,1,1,Surburban,0,Web,Mens E-Mail,0,0,0,1,5.650873841223021
2,1) $0 - $100,60.2,0,1,Surburban,1,Web,No E-Mail,0,0,0,0,4.097672352314776
4,"7) $1,000 +",1089.77,1,0,Urban,1,Multichannel,Mens E-Mail,0,0,0,1,6.993721943783309
1,"6) $750 - $1,000",790.36,1,1,Urban,1,Multichannel,Mens E-Mail,0,0,0,1,6.6724885378656165
4,1) $0 - $100,36.49,1,0,Urban,1,Web,No E-Mail,0,0,0,0,3.5970382504483562
12,3) $200 - $350,271.89,1,0,Rural,0,Web,Mens E-Mail,0,0,0,1,5.6053975727348
3,1) $0 - $100,39.83,0,1,Urban,1,Phone,Mens E-Mail,1,0,0,1,3.684620397193553
5,3) $200 - $350,269.99,1,1,Surburban,0,Phone,Mens E-Mail,0,0,0,1,5.59838492127545
4,3) $200 - $350,292.61,1,0,Surburban,0,Multichannel,No E-Mail,0,0,0,0,5.678840664351991
6,1) $0 - $100,29.99,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,3.4008639927609177
9,2) $100 - $200,116.3,1,0,Rural,1,Web,Mens E-Mail,1,0,0,1,4.7561730595246186
5,1) $0 - $100,29.99,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,3.4008639927609177
3,1) $0 - $100,29.99,0,1,Urban,1,Web,No E-Mail,0,0,0,0,3.4008639927609177
7,1) $0 - $100,39.78,0,1,Surburban,0,Web,Mens E-Mail,0,0,0,1,3.683364273425826
1,5) $500 - $750,720.17,1,1,Urban,1,Phone,Mens E-Mail,0,0,0,1,6.57948729525137
4,1) $0 - $100,69.08,0,1,Urban,0,Phone,Mens E-Mail,0,0,0,1,4.235265253278478
1,3) $200 - $350,301.19,1,0,Surburban,1,Web,No E-Mail,0,0,0,0,5.70774129484338
10,3) $200 - $350,307.64,0,1,Urban,0,Multichannel,Mens E-Mail,0,0,0,1,5.728930268188853
7,4) $350 - $500,481.56,1,0,Surburban,0,Web,Mens E-Mail,0,0,0,1,6.177030834066826
10,1) $0 - $100,29.99,0,1,Surburban,0,Web,No E-Mail,0,0,0,0,3.4008639927609177
5,4) $350 - $500,425.1,1,0,Rural,1,Phone,Mens E-Mail,0,0,0,1,6.052324435364745
10,1) $0 - $100,36.28,1,0,Urban,1,Web,No E-Mail,0,0,0,0,3.591266625246936
7,1) $0 - $100,32.42,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,3.4787755163075302
1,2) $100 - $200,150.93,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,5.016816153171337
1,5) $500 - $750,506.51,1,0,Urban,1,Multichannel,No E-Mail,0,0,0,0,6.227544066830465
8,5) $500 - $750,575.62,1,1,Urban,1,Multichannel,Mens E-Mail,0,0,0,1,6.355447720761205
2,2) $100 - $200,145.76,0,1,Surburban,1,Web,No E-Mail,1,0,0,0,4.981961433511648
8,4) $350 - $500,428,1,0,Surburban,1,Multichannel,No E-Mail,0,0,0,0,6.059123195581797
6,5) $500 - $750,604.39,1,1,Urban,1,Phone,No E-Mail,0,0,0,0,6.404219684927493
8,2) $100 - $200,171.88,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,5.146796558906795
7,1) $0 - $100,29.99,1,0,Surburban,1,Web,Mens E-Mail,0,0,0,1,3.4008639927609177
1,3) $200 - $350,209.98,1,0,Surburban,0,Web,No E-Mail,1,0,0,0,5.347012288086795
3,2) $100 - $200,166,0,1,Urban,0,Web,No E-Mail,0,0,0,0,5.111987788356544
8,3) $200 - $350,336.76,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0,1,5.819370510469463
4,4) $350 - $500,356.73,0,1,Surburban,0,Web,No E-Mail,0,0,0,0,5.876979193117597
4,1) $0 - $100,52.12,1,0,Urban,0,Phone,Mens E-Mail,0,0,0,1,3.953548752256644
7,4) $350 - $500,406.7,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0,1,6.008075812913178
6,3) $200 - $350,277.81,1,0,Surburban,1,Multichannel,No E-Mail,0,0,0,0,5.626937426792593
1,2) $100 - $200,181.98,0,1,Urban,1,Web,Mens E-Mail,0,0,0,1,5.203896790928544
5,1) $0 - $100,29.99,0,1,Rural,1,Web,No E-Mail,0,0,0,0,3.4008639927609177
5,1) $0 - $100,29.99,0,1,Surburban,0,Web,No E-Mail,1,0,0,0,3.4008639927609177
6,1) $0 - $100,29.99,0,1,Urban,1,Web,Mens E-Mail,0,0,0,1,3.4008639927609177
8,2) $100 - $200,130.31,1,0,Surburban,1,Phone,No E-Mail,0,0,0,0,4.869916227156815
3,1) $0 - $100,65.26,1,0,Urban,0,Web,Mens E-Mail,1,0,0,1,4.178379291165174
2,2) $100 - $200,115.56,0,1,Surburban,1,Web,No E-Mail,0,0,0,0,4.749789875598035
8,2) $100 - $200,104.94,0,1,Urban,0,Phone,No E-Mail,0,0,0,0,4.653388758258566
7,1) $0 - $100,69.44,1,0,Rural,0,Web,Mens E-Mail,1,0,0,1,4.240463070352095
2,3) $200 - $350,224.89,1,1,Urban,0,Multichannel,No E-Mail,0,0,0,0,5.415611393770394
5,4) $350 - $500,354.03,1,0,Urban,0,Web,Mens E-Mail,0,0,0,1,5.869381655305767
10,2) $100 - $200,151.43,1,0,Urban,0,Web,No E-Mail,0,0,0,0,5.020123471968565
11,2) $100 - $200,120.14,1,0,Urban,0,Web,Mens E-Mail,0,0,0,1,4.788657729422015
5,3) $200 - $350,290.86,1,0,Urban,1,Web,No E-Mail,0,0,0,0,5.672842051749564
11,1) $0 - $100,81.06,1,0,Urban,0,Web,Mens E-Mail,0,0,0,1,4.395189621200163
10,1) $0 - $100,55.11,1,0,Urban,1,Web,Mens E-Mail,0,0,0,1,4.009331187895144
1,5) $500 - $750,513.83,0,1,Surburban,1,Multichannel,Mens E-Mail,0,0,0,1,6.241892471449249
4,"6) $750 - $1,000",770.38,0,1,Rural,1,Multichannel,No E-Mail,0,0,0,0,6.646883899606956
1,1) $0 - $100,33.5,1,0,Surburban,0,Web,Mens E-Mail,0,0,0,1,3.5115454388310208
2,1) $0 - $100,56.25,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0,1,4.029806041084529
2,"7) $1,000 +",1093.92,1,1,Surburban,1,Web,No E-Mail,0,0,0,0,6.997522854165484
1,"6) $750 - $1,000",752.8,1,1,Urban,1,Phone,No E-Mail,0,0,0,0,6.6237995882711695
2,2) $100 - $200,199.95,1,0,Surburban,1,Phone,No E-Mail,0,0,0,0,5.298067335292827
9,3) $200 - $350,239.91,0,1,Rural,0,Phone,No E-Mail,0,0,0,0,5.480263853011908
8,1) $0 - $100,43.16,0,1,Urban,1,Phone,No E-Mail,0,0,0,0,3.764914140389934
2,4) $350 - $500,418.81,0,1,Surburban,0,Multichannel,No E-Mail,0,0,0,0,6.0374173564572535
3,1) $0 - $100,67.4,1,0,Surburban,0,Web,Mens E-Mail,0,0,0,1,4.210645017918261
10,1) $0 - $100,54.25,0,1,Surburban,0,Web,Mens E-Mail,0,0,0,1,3.993602992420569
7,3) $200 - $350,329.26,0,1,Urban,0,Web,Mens E-Mail,0,0,0,1,5.796847712219876
1,1) $0 - $100,29.99,1,0,Rural,1,Phone,Mens E-Mail,0,0,0,1,3.4008639927609177
5,1) $0 - $100,39.52,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0,1,3.6768068728796672
1,3) $200 - $350,307.58,1,0,Surburban,0,Multichannel,No E-Mail,0,0,0,0,5.728735216011778
6,1) $0 - $100,92.32,0,1,Urban,0,Phone,Mens E-Mail,0,0,0,1,4.52526080275979
10,4) $350 - $500,375.9,0,1,Urban,0,Web,Mens E-Mail,0,0,0,1,5.9293231505701325
9,1) $0 - $100,29.99,1,0,Urban,0,Web,Mens E-Mail,0,0,0,1,3.4008639927609177
9,3) $200 - $350,220.51,1,0,Urban,0,Multichannel,Mens E-Mail,0,0,0,1,5.395943045332476
6,1) $0 - $100,78.69,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0,1,4.365516082546892
3,4) $350 - $500,376.14,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,5.929961414513932
1,2) $100 - $200,179.63,1,0,Surburban,0,Phone,Mens E-Mail,1,0,0,1,5.190899179780744
8,1) $0 - $100,59.76,0,1,Urban,1,Web,Mens E-Mail,0,0,0,1,4.090336540824562
4,3) $200 - $350,320.17,0,1,Urban,1,Phone,Mens E-Mail,0,0,0,1,5.768852104730449
1,2) $100 - $200,103.07,1,0,Surburban,0,Web,Mens E-Mail,0,0,0,1,4.635408369048701
10,1) $0 - $100,35.84,1,0,Urban,1,Phone,No E-Mail,0,0,0,0,3.57906458810673
2,1) $0 - $100,90.91,1,0,Surburban,0,Web,Mens E-Mail,0,0,0,1,4.509870006133767
5,3) $200 - $350,215.03,0,1,Urban,1,Web,No E-Mail,0,0,0,0,5.370777553277297
1,"6) $750 - $1,000",856.4,0,1,Urban,1,Web,No E-Mail,0,0,0,0,6.752737556715528
10,2) $100 - $200,139.83,1,0,Urban,1,Phone,Mens E-Mail,0,0,0,1,4.940427399052759
10,3) $200 - $350,245.09,1,0,Urban,0,Multichannel,No E-Mail,0,0,0,0,5.501625490028135
6,2) $100 - $200,127.2,0,1,Surburban,0,Phone,No E-Mail,0,0,0,0,4.845760650906022
1,4) $350 - $500,470.65,1,0,Urban,0,Phone,Mens E-Mail,0,0,0,1,6.154114717993229
1,1) $0 - $100,59.13,1,0,Urban,1,Web,Mens E-Mail,0,0,0,1,4.079738409832738
3,3) $200 - $350,327.1,1,0,Surburban,1,Web,No E-Mail,0,0,0,0,5.790265934544339
1,4) $350 - $500,399.72,1,1,Surburban,0,Phone,Mens E-Mail,1,0,0,1,5.990764301993589
3,1) $0 - $100,29.99,1,0,Urban,0,Phone,No E-Mail,0,0,0,0,3.4008639927609177
6,4) $350 - $500,398.03,1,1,Surburban,0,Phone,No E-Mail,0,0,0,0,5.986527379328165
4,2) $100 - $200,134.24,0,1,Urban,0,Web,Mens E-Mail,1,0,0,1,4.8996292427188965
10,3) $200 - $350,290.55,0,1,Surburban,0,Web,Mens E-Mail,0,0,0,1,5.671775678521114
7,1) $0 - $100,29.99,1,0,Surburban,0,Web,No E-Mail,0,0,0,0,3.4008639927609177
4,1) $0 - $100,87.69,1,0,Surburban,0,Web,Mens E-Mail,0,0,0,1,4.4738078677912645
12,4) $350 - $500,465.37,0,1,Rural,1,Multichannel,No E-Mail,0,0,0,0,6.1428327881115266
1,2) $100 - $200,188.89,0,1,Surburban,1,Web,No E-Mail,0,0,0,0,5.241164835043728
4,1) $0 - $100,49.8,1,0,Urban,1,Web,Mens E-Mail,0,0,0,1,3.9080149840306073
3,3) $200 - $350,229.42,0,1,Rural,0,Multichannel,No E-Mail,0,0,0,0,5.435554384853122
1,3) $200 - $350,253.18,0,1,Surburban,0,Multichannel,Mens E-Mail,0,0,0,1,5.5341006982086824
2,2) $100 - $200,156.4,0,1,Surburban,0,Web,Mens E-Mail,0,0,0,1,5.052416828111211
4,5) $500 - $750,557.47,1,0,Urban,1,Web,No E-Mail,0,0,0,0,6.323408690227182
11,2) $100 - $200,140.07,0,1,Urban,1,Web,Mens E-Mail,0,0,0,1,4.942142297650955
10,2) $100 - $200,168.04,1,0,Urban,0,Web,No E-Mail,0,0,0,0,5.124202046301181
4,2) $100 - $200,164.7,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,5.104125637183595
2,1) $0 - $100,57.53,1,0,Urban,1,Phone,No E-Mail,0,0,0,0,4.052306550875202
3,2) $100 - $200,188.19,1,0,Urban,0,Phone,Mens E-Mail,1,0,0,1,5.237452090776761
10,1) $0 - $100,29.99,0,1,Surburban,0,Web,No E-Mail,1,1,149.28,0,3.4008639927609177
1,1) $0 - $100,35.23,1,0,Urban,1,Phone,Mens E-Mail,0,0,0,1,3.561897992353146
4,5) $500 - $750,550.59,1,0,Surburban,1,Web,No E-Mail,0,0,0,0,6.3109904305384905
6,3) $200 - $350,232.94,1,0,Surburban,1,Multichannel,Mens E-Mail,0,0,0,1,5.4507809096745055
10,3) $200 - $350,205.88,1,0,Urban,0,Phone,No E-Mail,0,0,0,0,5.327293474784554
1,"7) $1,000 +",1281.48,1,0,Urban,1,Phone,Mens E-Mail,0,0,0,1,7.155770938971454
3,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,1,0,0,0,3.4008639927609177
3,5) $500 - $750,542.16,1,0,Urban,1,Phone,Mens E-Mail,1,0,0,1,6.295561160827858
6,5) $500 - $750,507.25,0,1,Urban,1,Phone,Mens E-Mail,0,0,0,1,6.229003978705924
10,1) $0 - $100,29.99,1,0,Rural,0,Web,Mens E-Mail,0,0,0,1,3.4008639927609177
7,1) $0 - $100,60.02,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0,1,4.0946778400122215
1,1) $0 - $100,68.5,0,1,Urban,0,Phone,No E-Mail,0,0,0,0,4.22683374526818
11,1) $0 - $100,37.45,0,1,Urban,0,Phone,No E-Mail,0,0,0,0,3.6230067099632284
4,1) $0 - $100,70.39,0,1,Surburban,1,Web,No E-Mail,0,0,0,0,4.25405120762004
6,1) $0 - $100,98.8,0,1,Rural,1,Phone,Mens E-Mail,1,0,0,1,4.593097604753822
5,5) $500 - $750,556.5,0,1,Rural,1,Web,Mens E-Mail,0,0,0,1,6.3216671707156
6,2) $100 - $200,136.26,0,1,Rural,1,Web,No E-Mail,0,0,0,0,4.914564825345522
9,2) $100 - $200,172.14,0,1,Urban,0,Phone,Mens E-Mail,0,0,0,1,5.148308099221328
2,3) $200 - $350,203.52,1,1,Urban,1,Multichannel,No E-Mail,1,0,0,0,5.3157642801517575
10,3) $200 - $350,320.11,0,1,Rural,0,Web,No E-Mail,0,0,0,0,5.768664686725277
8,3) $200 - $350,267.25,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0,1,5.588184549905154
9,5) $500 - $750,744.22,1,0,Rural,1,Web,No E-Mail,0,0,0,0,6.6123366900475125
3,1) $0 - $100,99.25,1,0,Surburban,1,Phone,No E-Mail,0,0,0,0,4.5976419195673
5,1) $0 - $100,62.49,1,0,Rural,0,Web,No E-Mail,0,0,0,0,4.135006543940991
4,1) $0 - $100,72.66,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0,1,4.2857910267930555
10,3) $200 - $350,333.65,0,1,Surburban,0,Web,No E-Mail,0,0,0,0,5.810092539349616
7,3) $200 - $350,340.18,0,1,Urban,0,Phone,No E-Mail,0,0,0,0,5.829474889285946
10,1) $0 - $100,62.63,0,1,Surburban,1,Phone,Mens E-Mail,0,0,0,1,4.137244396537321
5,3) $200 - $350,283.55,1,0,Urban,1,Phone,No E-Mail,0,0,0,0,5.647388474460037
9,1) $0 - $100,54.34,1,0,Surburban,0,Phone,Mens E-Mail,1,0,0,1,3.9952606039982017
5,3) $200 - $350,247.82,1,0,Urban,0,Phone,Mens E-Mail,0,0,0,1,5.512702676188347
11,2) $100 - $200,178.56,1,0,Urban,0,Phone,Mens E-Mail,0,0,0,1,5.184924679192946
2,1) $0 - $100,86.38,1,0,Urban,1,Web,Mens E-Mail,0,0,0,1,4.458756167532555
7,3) $200 - $350,233.4,1,1,Urban,0,Multichannel,No E-Mail,0,0,0,0,5.452753719852455
1,"7) $1,000 +",1524.15,1,0,Rural,1,Web,No E-Mail,0,0,0,0,7.3291921566000005
10,1) $0 - $100,57.71,0,1,Surburban,0,Web,Mens E-Mail,0,0,0,1,4.055430468722875
4,4) $350 - $500,410.86,0,1,Urban,0,Web,No E-Mail,0,0,0,0,6.018252523864365
6,1) $0 - $100,40.24,1,0,Surburban,1,Phone,Mens E-Mail,0,0,0,1,3.6948615257914836
9,5) $500 - $750,535.17,0,1,Surburban,1,Web,Mens E-Mail,0,0,0,1,6.282584453431286
3,5) $500 - $750,584.63,1,1,Surburban,1,Web,No E-Mail,0,0,0,0,6.370979168500391
1,1) $0 - $100,29.99,1,0,Urban,1,Phone,Mens E-Mail,0,0,0,1,3.4008639927609177
5,2) $100 - $200,119.47,1,0,Surburban,0,Phone,No E-Mail,0,0,0,0,4.783065293829132
